iter	Passed	Remaining
402	13347	19773
403	13379	19738
404	13415	19708
405	13452	19681
406	13489	19653
407	13524	19624
408	13558	19591
409	13589	19555
410	13649	19560
411	13697	19548
412	13735	19522
413	13773	19496
414	13812	19470
415	13852	19446
416	13889	19418
417	13924	19387
418	13964	19363
419	13998	19331
420	14033	19300
421	14069	19270
422	14101	19234
423	14137	19205
424	14170	19171
425	14203	19137
426	14236	19103
427	14267	19067
428	14299	19032
429	14332	18999
430	14363	18961
431	14399	18933
432	14442	18912
433	14478	18882
434	14517	18856
435	14550	18822
436	14578	18781
437	14613	18750
438	14642	18711
439	14674	18676
440	14710	18646
441	14743	18612
442	14776	18579
443	14808	18544
444	14840	18508
445	14871	18473
446	14905	18439
447	14937	18404
448	14966	18366
449	14999	18332
450	15035	18302
451	15077	18279
452	15109	18244
453	15145	18215
454	15181	18184
455	15211	18147
456	15246	18115
457	15271	18072
458	15307	18041
459	15337	18004
460	15371	17972
461	15404	17939
462	15433	17899
463	15464	17864
464	15493	17825
465	15529	17796
466	15562	17761
467	15593	17725
468	15626	17692
469	15659	17658
470	15691	17623
471	15723	17588
472	15756	17555
473	15791	17523
474	15822	17487
475	15856	17455
476	15886	17418
477	15916	17381
478	15942	17340
479	15978	17309
480	16005	17270
481	16048	17246
482	16086	17219
483	16118	17183
484	16153	17152
485	16188	17121
486	16223	17089
487	16256	17056
488	16289	17021
489	16321	16987
490	16354	16954
491	16390	16923
492	16421	16888
493	16456	16856
494	16489	16822
495	16521	16787
496	16554	16753
497	16588	16721
498	16620	16687
499	16648	16648
500	16678	16612
501	16713	16580
502	16747	16547
503	16781	16515
504	16816	16483
505	16849	16449
506	16881	16415
507	16918	16385
508	16951	16351
509	16985	16319
510	17022	16289
511	17054	16255
512	17091	16225
513	17128	16195
514	17162	16162
515	17193	16126
516	17225	16093
517	17256	16057
518	17287	16021
519	17317	15985
520	17351	15952
521	17384	15919
522	17416	15884
523	17445	15847
524	17476	15812
525	17512	15780
526	17546	15748
527	17578	15714
528	17614	15683
529	17650	15652
530	17680	15616
531	17713	15582
532	17745	15547
533	17776	15512
534	17809	15479
535	17842	15445
536	17876	15412
537	17912	15382
538	17944	15347
539	17977	15313
540	18013	15283
541	18045	15248
542	18082	15218
543	18116	15186
544	18156	15158
545	18191	15126
546	18224	15092
547	18257	15059
548	18292	15026
549	18325	14993
550	18358	14960
551	18387	14922
552	18415	14885
553	18448	14851
554	18478	14815
555	18509	14781
556	18536	14742
557	18567	14707
558	18601	14674
559	18634	14641
560	18669	14609
561	18700	14574
562	18733	14540
563	18764	14506
564	18795	14471
565	18829	14437
566	18864	14406
567	18897	14372
568	18934	14342
569	18971	14312
570	19000	14275
571	19035	14243
572	19071	14211
573	19104	14178
574	19135	14143
575	19167	14109
576	19201	14076
577	19231	14040
578	19266	14008
579	19300	13975
580	19333	13942
581	19371	13912
582	19405	13880
583	19437	13846
584	19475	13816
585	19504	13779
586	19537	13745
587	19571	13713
588	19603	13678
589	19633	13643
590	19669	13611
591	19703	13579
592	19732	13543
593	19762	13507
594	19798	13476
595	19832	13443
596	19866	13410
597	19897	13376
598	19936	13346
599	19968	13312
600	20004	13280
601	20036	13246
602	20070	13214
603	20104	13181
604	20141	13150
605	20180	13120
606	20220	13091
607	20262	13064
608	20300	13033
609	20331	12998
610	20369	12968
611	20408	12938
612	20438	12903
613	20473	12870
614	20503	12835
615	20540	12804
616	20567	12767
617	20603	12735
618	20638	12703
619	20671	12669
620	20705	12636
621	20738	12603
622	20774	12571
623	20808	12538
624	20842	12505
625	20874	12471
626	20907	12437
627	20940	12404
628	20973	12370
629	21009	12338
630	21042	12305
631	21075	12271
632	21107	12237
633	21139	12203
634	21174	12171
635	21210	12139
636	21252	12111
637	21291	12080
638	21326	12048
639	21357	12013
640	21388	11978
641	21423	11946
642	21455	11912
643	21488	11878
644	21519	11843
645	21551	11810
646	21584	11776
647	21616	11742
648	21647	11707
649	21681	11674
650	21713	11640
651	21749	11608
652	21776	11571
653	21808	11537
654	21842	11504
655	21876	11471
656	21908	11437
657	21938	11402
658	21972	11369
659	22002	11334
660	22032	11299
661	22063	11264
662	22095	11231
663	22129	11197
664	22156	11161
665	22188	11127
666	22220	11093
667	22252	11059
668	22282	11024
669	22320	10993
670	22352	10959
671	22389	10928
672	22427	10897
673	22456	10861
674	22503	10835
675	22547	10806
676	22587	10776
677	22628	10746
678	22660	10712
679	22694	10679
680	22732	10648
681	22762	10613
682	22794	10579
683	22826	10545
684	22856	10510
685	22892	10478
686	22928	10446
687	22961	10412
688	22992	10378
689	23027	10345
690	23064	10314
691	23097	10280
692	23130	10246
693	23164	10213
694	23197	10180
695	23230	10146
696	23266	10114
697	23298	10080
698	23327	10045
699	23366	10014
700	23400	9981
701	23433	9947
702	23468	9914
703	23501	9881
704	23534	9847
705	23563	9812
706	23596	9778
707	23633	9747
708	23672	9716
709	23709	9684
710	23744	9651
711	23777	9617
712	23811	9584
713	23837	9548
714	23871	9515
715	23907	9482
716	23941	9449
717	23975	9416
718	24009	9383
719	24045	9350
720	24081	9318
721	24114	9285
722	24144	9250
723	24179	9217
724	24215	9185
725	24245	9150
726	24280	9117
727	24315	9084
728	24350	9052
729	24384	9019
730	24423	8987
731	24459	8955
732	24493	8921
733	24524	8887
734	24556	8853
735	24592	8821
736	24623	8786
737	24663	8755
738	24698	8722
739	24733	8690
740	24770	8657
741	24803	8624
742	24831	8589
743	24862	8554
744	24895	8521
745	24923	8486
746	24958	8453
747	24992	8419
748	25023	8385
749	25062	8354
750	25096	8320
751	25128	8287
752	25163	8254
753	25198	8221
754	25233	8188
755	25266	8154
756	25299	8121
757	25333	8087
758	25367	8054
759	25402	8021
760	25437	7988
761	25470	7955
762	25502	7921
763	25533	7887
764	25569	7854
765	25601	7820
766	25626	7784
767	25659	7751
768	25691	7717
769	25719	7682
770	25754	7649
771	25789	7616
772	25826	7584
773	25860	7550
774	25894	7517
775	25934	7486
776	25966	7452
777	25996	7418
778	26029	7384
779	26062	7350
780	26096	7317
781	26135	7285
782	26171	7253
783	26207	7220
784	26244	7187
785	26279	7154
786	26312	7121
787	26347	7088
788	26383	7055
789	26417	7022
790	26451	6989
791	26490	6957
792	26526	6924
793	26562	6891
794	26596	6858
795	26628	6824
796	26658	6790
797	26692	6756
798	26725	6723
799	26757	6689
800	26785	6654
801	26822	6622
802	26861	6589
803	26896	6556
804	26931	6523
805	26962	6489
806	26999	6457
807	27034	6424
808	27070	6391
809	27108	6358
810	27139	6324
811	27170	6290
812	27204	6257
813	27238	6224
814	27270	6190
815	27306	6157
816	27336	6123
817	27371	6090
818	27401	6055
819	27430	6021
820	27464	5987
821	27503	5955
822	27541	5923
823	27572	5889
824	27609	5856
825	27644	5823
826	27671	5788
827	27706	5755
828	27739	5721
829	27775	5688
830	27809	5655
831	27836	5620
832	27867	5586
833	27897	5552
834	27929	5518
835	27959	5484
836	27995	5451
837	28033	5419
838	28063	5385
839	28098	5352
840	28133	5318
841	28165	5285
842	28195	5251
843	28231	5218
844	28262	5184
